name,1986,1990,1993,1994,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,bike_lane_count,aaa_total
Arbutus Ridge,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,34,20,0,0,0,28,0,12,0,3,0,0,0,0,0,0,112,3
Downtown,3,18,0,0,0,0,0,0,1,0,0,57,0,35,63,2,2,26,5,8,2,3,1,1,21,0,4,0,0,6,0,0,258,154
Downtown Eastside,0,0,32,0,0,0,0,0,0,6,0,3,0,0,6,0,10,11,0,0,0,6,3,2,9,0,11,0,0,0,0,0,99,63
Dunbar Southlands,0,0,0,0,0,0,22,25,0,0,0,2,0,0,0,0,0,69,51,0,0,33,0,1,0,0,0,0,0,0,0,0,203,0
Fairview,0,36,0,24,0,0,15,0,0,0,0,0,19,0,0,7,0,6,3,0,0,0,0,0,6,17,15,0,0,0,0,0,148,54
Grandview-Woodland,0,0,15,5,0,0,64,0,39,0,0,4,0,0,0,0,0,7,0,11,0,0,0,0,0,0,3,0,0,14,0,0,162,25
Hastings-Sunrise,0,0,69,0,0,0,0,67,20,0,1,0,0,0,0,0,0,9,2,0,0,0,10,0,0,0,0,0,0,27,2,2,209,36
Kensington-Cedar Cottage,16,0,0,0,0,0,3,44,20,0,0,64,5,30,0,2,0,8,0,17,32,6,0,0,0,0,0,0,0,0,0,0,247,31
Kerrisdale,0,7,0,0,0,13,22,0,0,0,0,0,0,0,0,0,16,10,0,36,0,0,0,0,0,11,0,0,0,0,0,0,115,11
Killarney,0,0,0,11,0,0,0,54,0,0,0,0,9,0,0,0,0,31,0,2,0,4,0,4,0,0,2,0,0,3,0,0,120,16
Kitsilano,0,30,0,31,0,40,0,0,0,0,0,0,34,3,0,24,15,32,0,0,0,0,33,0,0,20,0,0,0,4,0,0,266,102
Marpole,0,3,0,0,0,38,3,0,0,0,0,0,0,1,0,0,41,23,1,0,23,4,4,0,6,31,0,0,0,0,0,0,178,24
Mount Pleasant,2,2,0,29,33,0,0,0,0,0,0,27,31,0,0,1,21,16,24,5,14,0,0,1,0,6,13,4,2,0,0,0,231,67
Oakridge,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,31,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,90,0
Renfrew-Collingwood,23,0,0,0,0,0,0,82,0,0,0,11,0,0,0,10,0,51,0,0,0,0,0,1,0,0,4,0,26,0,0,0,208,32
Riley Park,0,0,0,0,37,0,0,22,0,0,0,0,0,0,5,0,37,56,0,0,16,0,0,0,0,0,0,25,0,3,0,0,201,12
Shaughnessy,0,0,0,0,0,31,0,20,0,0,0,0,0,2,0,0,0,27,0,0,0,0,0,6,0,3,0,0,0,0,0,0,89,3
South Cambie,0,0,0,0,0,0,34,14,0,0,0,0,0,0,0,0,7,16,2,0,0,0,0,2,2,0,0,0,0,0,0,0,77,4
Strathcona,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,7,2,0,0,2,1,0,0,1,0,0,0,4,0,0,22,17
Sunset,0,1,0,0,36,0,0,0,0,0,0,50,12,0,0,1,0,0,0,0,48,41,0,0,0,0,0,0,0,0,0,0,189,16
Victoria-Fraserview,0,1,0,4,0,0,0,31,0,0,0,6,10,0,0,0,0,0,0,0,36,53,0,0,0,0,2,0,10,0,0,0,153,17
West End,0,5,0,2,0,0,0,0,0,0,0,2,0,0,43,0,0,7,0,4,17,11,0,0,4,6,14,0,0,14,0,0,129,75
West Point Grey,0,15,0,15,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,19,4,0,0,4,0,0,21,0,0,0,110,15
